Drop Off Location,Stake,# of Adult Volunteers,# of Youth Volunteers,Donation Bags Collected,Time to Complete (min),Completed More Than One Route,Ward/Branch,Comment Sentiments,Comments or Feedback,Routes Completed,Doors in Route,Time Spent
Gateway Stake Centre,Gateway Stake,2,2,17,37,Yes,Silver Berry Ward,Neutral,No Comments,2,197,37
Bearspaw Chapel,Gateway Stake,2,0,20,60,No,Blackmud Creek Ward,Negative,Less bags than number of houses ,2,123,63
Bearspaw Chapel,Gateway Stake,2,3,49,60,Yes,Blackmud Creek Ward,Positive,I would keep these routes together,2,241,89
Bearspaw Chapel,Gateway Stake,2,0,21,40,No,Blackmud Creek Ward,Neutral,No Comments,2,109,40
Bearspaw Chapel,Gateway Stake,2,2,25,10,No,Blackmud Creek Ward,Neutral,No Comments,2,190,50
Bearspaw Chapel,Gateway Stake,3,4,40,35,No,Blackmud Creek Ward,Neutral,No Comments,2,155,63
Parkland (Spruce Grove/Stony Plain),Edmonton North Stake,2,5,20,20,No,Stony Plain Ward,Neutral,No Comments,2,115,150
Riverbend Stake Centre,Riverbend Stake,2,10,29,40,Yes,Greenfield Ward,Neutral,No Comments,3,200,40
Riverbend Stake Centre,Riverbend Stake,2,4,29,40,Yes,Terwillegar Park Ward,Neutral,No Comments,3,174,40
Riverbend Stake Centre,Riverbend Stake,2,4,39,80,Yes,Terwillegar Park Ward,Neutral,No Comments,3,262,80
Bearspaw Chapel,Gateway Stake,2,2,25,75,No,Blackmud Creek Ward,Neutral,No Comments,2,202,75
Bearspaw Chapel,Bonnie Doon Stake,4,5,34,55,No,Southgate Ward,Neutral,No Comments,2,157,55
Bearspaw Chapel,Gateway Stake,2,0,28,70,No,Lee Ridge Ward,Positive,It would have been nice to drop off a thank you card to those who donated as in past years. ,2,142,60
Gateway Stake Centre,Gateway Stake,2,0,150,150,Yes,Crawford Plains Ward,Negative,6. Routes,6,195,150
